Ensembl_ID	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC
ENSG00000103472	-2.49440270905817	0.00344208874048779	LPS_vs_PBS	HSALNG0110562	integenic	Not conserved			LAT
ENSG00000163081	4.31625160408828	0.00191794771494615	LPS_vs_PBS	NA	NA	NA	NA	NA	SGPP2
ENSG00000175147	-1.77905996018645	0.00158405027845066	LPS_vs_PBS	HSALNG0001056	anti_sense	Q50	hsa-miR-25-5p,hsa-miR-1203,hsa-miR-4492,hsa-miR-2467-3p	-	CASP9
ENSG00000176124	-2.74644220934423	1.71922053037664e-11	LPS_vs_PBS	HSALNG0097105	anti_sense	Q50	hsa-miR-30b-3p,hsa-miR-619-5p,hsa-miR-4286,hsa-miR-4710,hsa-miR-7152-5p,hsa-miR-8485	Bmi-adjusted waist-hip ratio,Appendicular lean mass; Monocyte count,Sex hormone-binding globulin measurement,Body height,Serum alanine aminotransferase measurement; Forced expiratory volume; Lean body mass; Body height; Vital capacity; Triglyceride measurement,Intelligence,Serum alanine aminotransferase measurement; Sex hormone-binding globulin measurement; Glomerular filtration rate; Creatinine measurement; Bmi-adjusted waist-hip ratio,Bmi-adjusted hip circumference,Monocyte percentage of leukocytes; Monocyte count,Diabetic maculopathy,Body height; Bmi-adjusted hip circumference,Basophil count,Lymphocyte percentage of leukocytes; Lymphocyte count,Leukocyte count,Electrocardiography,Psoriasis,Psoriasis; Bmi-adjusted hip circumference; Primary biliary cirrhosis; Bmi-adjusted waist-hip ratio; Autoimmune disease,Appendicular lean mass,Hematocrit; Hemoglobin measurement; Erythrocyte count,Hypothyroidism,Snoring measurement; Aortic root size,Eczema; Allergic rhinitis,High density lipoprotein cholesterol measurement,Celiac disease,Leukocyte count; Lymphocyte count,Tnf-related apoptosis-inducing ligand measurement,Fatty acid measurement,Diffuse large b-cell lymphoma; Bmi-adjusted hip circumference; Chronic lymphocytic leukemia; Triglyceride measurement,Hematocrit; Hemoglobin measurement,Thyroid peroxidase antibody measurement,Lipoprotein a measurement,Creatinine measurement; Glomerular filtration rate,Eosinophil count; Eosinophil percentage of granulocytes; Eosinophil percentage of leukocytes,Adiponectin measurement,Bmi-adjusted adiponectin measurement,Body mass index,Low density lipoprotein cholesterol measurement,Bmi-adjusted hip circumference; Bmi-adjusted waist-hip ratio,Triglyceride measurement,Left ventricular structural measurement,Fear of severe pain measurement,Hemoglobin measurement,Gamma-aminoisobutyric acid measurement,Eosinophil count,Heel bone mineral density,Prostate carcinoma,Grip strength measurement,Prostate specific antigen measurement,Blood urea nitrogen measurement; Forced expiratory volume,Grip strength measurement; Appendicular lean mass,Magnesium measurement,Caudal anterior cingulate cortex volume measurement,Blood urea nitrogen measurement,Breast carcinoma,Puberty; Heel bone mineral density; Bmi-adjusted hip circumference; Body height; Height growth measurement,Body height; Diastolic blood pressure; Systolic blood pressure,Hip circumference,Body height; Cardiovascular disease; Bmi-adjusted hip circumference; Systolic blood pressure,Transforming growth factor beta measurement,Primary biliary cirrhosis,Appendicular lean mass; Bmi-adjusted hip circumference,Body weight,Waist-hip ratio; Bmi-adjusted waist-hip ratio,Bmi-adjusted waist circumference; Bmi-adjusted waist-hip ratio,Protein measurement,Tumor necrosis factor-alpha measurement,Urinary albumin to creatinine ratio,Body height; Attention deficit hyperactivity disorder,Hematocrit,Bmi-adjusted waist circumference,Osteosarcoma; Bmi-adjusted hip circumference; Bmi-adjusted waist-hip ratio; Inguinal hernia,Bmi-adjusted waist circumference; Bmi-adjusted hip circumference; Waist-hip ratio; Bmi-adjusted waist-hip ratio,Interleukin 9 measurement,Waist-hip ratio; Bmi-adjusted waist-hip ratio; Triglyceride measurement,Snoring measurement,Sphingomyelin 22:0 measurement,Platelet component distribution width,Lymphocyte count,Total blood protein measurement,Hematocrit; Odontogenesis,Blood phosphate measurement,Platelet count,Reticulocyte count; Reticulocyte measurement,Reticulocyte measurement,Hemorrhoid,Anthropometric measurement; Brachial circumference,Bipolar disorder; Unipolar depression,Benign prostatic hyperplasia; Lower urinary tract symptom,Platelet-to-lymphocyte ratio,Eosinophil count; Eosinophil percentage of leukocytes,Total cholesterol measurement,Adolescent idiopathic scoliosis,-	RNASEH2B
ENSG00000176349	-3.372894616752	0.00182647882904261	LPS_vs_PBS	NA	NA	NA	NA	NA	ELFN1
ENSG00000177133	2.98179696482245	0.0183696427521116	LPS_vs_PBS	HSALNG0000303	anti_sense	Q50	hsa-miR-612,hsa-miR-1180-5p,hsa-miR-663b,hsa-miR-1207-3p,hsa-miR-4472,hsa-miR-3960,hsa-miR-4638-5p,hsa-miR-4710,hsa-miR-6787-5p,hsa-miR-6894-3p,hsa-miR-8072	Waist-hip ratio; Bmi-adjusted waist-hip ratio; Monocyte count,Bmi-adjusted waist circumference,Platelet crit; Monocyte count,Platelet crit,Monocyte count,Myocardial infarction,-	TTC34
ENSG00000177340	2.93517454865886	6.55839917794157e-4	LPS_vs_PBS	NA	NA	NA	NA	NA	DDX11
ENSG00000177369	-3.61094567316099	1.3296156022542e-6	LPS_vs_PBS	HSALNG0117173	integenic	Not conserved	hsa-miR-6089	Testosterone measurement	ABI3
ENSG00000177406	-1.99836526660543	3.45666886866115e-6	LPS_vs_PBS	HSALNG0088498	anti_sense	Q50	hsa-miR-6809-3p	Platelet component distribution width,Mean platelet volume; Lymphocyte count; Platelet crit; Neutrophil percentage of leukocytes; Platelet count; Monocyte count,Soluble triggering receptor expressed on myeloid cells 2 measurement,Monocyte percentage of leukocytes,Monocyte count,Granulocyte percentage of myeloid white cells; Monocyte percentage of leukocytes,-	B4GALNT3
ENSG00000177788	-3.88177821944626	2.88027411644096e-8	LPS_vs_PBS	HSALNG0011302	anti_sense	Not conserved	hsa-miR-188-3p,hsa-miR-4281,hsa-miR-3620-5p,hsa-miR-1587,hsa-miR-4733-3p,hsa-miR-2467-3p,hsa-miR-8485	Response to antidepressant,Mean arterial pressure; Alcohol drinking,Parental genotype effect measurement; Food allergy measurement,-	CCSAP
