"Ensembl_ID"	"Gene_symbol"	"logFC"	"FDR"	"Comparison"	"LncBook.ID"	"Type"	"Conservation"	"miRNA"	"GWAS"	"nearest.PC"	"Top.correlated.gene"
"ENSG00000276317"	"ENSG00000276317"	2.65914569315003	0.00260313849722351	"LPS_vs_Control"	"HSALNG0131550"	"anti_sense"	"Not conserved"	"hsa-miR-940,hsa-miR-4492,hsa-miR-6752-3p,hsa-miR-6810-5p,hsa-miR-6810-3p,hsa-miR-7160-3p"	"Hemoglobin a1 measurement"	"GATA5"	"ALS2"
"ENSG00000274461"	"LINC02930"	-3.46417279365571	1.56485339879534e-05	"LPS_vs_Control"	"HSALNG0081109"	"integenic"	"Not conserved"	NA	"Adolescent idiopathic scoliosis,Left inferior lateral ventricle volume measurement; T-tau measurement; Cerebrospinal fluid biomarker measurement,-"	"PLPP4"	"ARHGAP33"
"ENSG00000290600"	"ENSG00000290600"	-2.83487158224713	0.00014971544432884	"LPS_vs_Control"	"HSALNG0062142"	"sense"	"Not conserved"	"hsa-miR-331-3p,hsa-miR-4323,hsa-miR-6090"	NA	"ZNF783"	"OSBPL7"
"ENSG00000256633"	"PDE2A-AS2"	-4.03085882416794	6.31464276909134e-05	"LPS_vs_Control"	"HSALNG0143016"	"anti_sense"	"Q90"	"hsa-miR-6749-5p,hsa-miR-6763-5p"	"-"	"ATG16L2"	"CACNA1G"
"ENSG00000288818"	"ENSG00000288818"	2.11677647710645	0.036697389458621	"LPS_vs_Control"	"HSALNG0065278"	"anti_sense"	"Q50"	NA	"Leptin measurement,Mitochondrial dna measurement,Bmi-adjusted waist circumference,Comparative body size at age 10, self-reported,Quality of life during menstruation measurement; Dysmenorrheic pain measurement,-"	"NPBWR1"	"MYLIP"
"ENSG00000274292"	"ENSG00000274292"	1.94084332721575	0.0184021902273	"LPS_vs_Control"	"HSALNG0094607"	"anti_sense"	"Q75"	"hsa-miR-619-5p,hsa-miR-1287-5p,hsa-miR-4472"	"-"	"SETD1B"	"MMP25"
"ENSG00000245694"	"CRNDE"	-2.03495653121284	2.52736299156548e-05	"LPS_vs_Control"	"HSALNG0111608"	"integenic"	"Q50"	"hsa-miR-619-5p,hsa-miR-4266,hsa-miR-6746-5p,hsa-miR-6754-5p,hsa-miR-10392-3p"	"Adolescent idiopathic scoliosis,Diet measurement; Body mass index,-"	"IRX3"	"PHF7"
"ENSG00000226950"	"DANCR"	-1.34506529660482	0.00099459176858714	"LPS_vs_Control"	"HSALNG0148096"	"anti_sense"	"Q50"	"hsa-miR-619-5p,hsa-miR-7108-3p"	"Response to citalopram; Mood disorder; Response to escitalopram; Unipolar depression,-"	"RASL11B"	"TTC19"
"ENSG00000291188"	"ENSG00000291188"	-2.14765685185112	0.0218785274221268	"LPS_vs_Control"	"HSALNG0110573"	"integenic"	"Not conserved"	NA	NA	"LAT"	"CD22"
"ENSG00000255921"	"ENSG00000255921"	3.25444210398719	0.00100104715146666	"LPS_vs_Control"	"HSALNG0089886"	"anti_sense"	"Not conserved"	"hsa-miR-6763-5p,hsa-miR-7847-3p"	"-"	"IRAG2"	"GPRC5A"
"ENSG00000286977"	"ENSG00000286977"	-2.73707793064065	0.00609542103547569	"LPS_vs_Control"	"HSALNG0138195"	"integenic"	"Not conserved"	"hsa-miR-4710"	NA	"FAAH2"	"MRE11"
