"Ensembl_ID"	"Gene_symbol"	"logFC"	"FDR"	"Comparison"	"LncBook.ID"	"Type"	"Conservation"	"miRNA"	"GWAS"	"nearest.PC"	"Top.correlated.gene"
"ENSG00000272839"	"ENSG00000272839"	1.27643067962315	0.00735999225276483	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0062763"	"anti_sense"	"Not conserved"	"hsa-miR-4463"	NA	"DNAJB6"	"LASP1"
"ENSG00000270012"	"ENSG00000270012"	-6.76477255299008	0.0181384856699435	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0137873"	"intronic_sense"	"Q75"	NA	NA	"PPP1R3F"	"ARSD"
"ENSG00000238197"	"PAXBP1-AS1"	-2.84344441247677	0.025656800406109	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0132711"	"anti_sense"	"Q90"	"hsa-miR-500b-3p"	"-"	"EVA1C"	"LUC7L"
"ENSG00000237781"	"ADAMTSL4-AS2"	-6.82269164443157	0.0166738850243223	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0007049"	"anti_sense"	"Q50"	"hsa-miR-607,hsa-miR-619-5p,hsa-miR-8485"	"Prostate carcinoma,Body height,-"	"MCL1"	"CDK11A"
"ENSG00000236088"	"COX10-DT"	-2.88620749080377	0.0065690054163598	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0114686"	"anti_sense"	"Q50"	"hsa-miR-619-5p,hsa-miR-6786-3p,hsa-miR-6871-5p,hsa-miR-8485"	"Age at onset,Conduct disorder,Serum igg glycosylation measurement,Systemic lupus erythematosus,Endometriosis,Adipic acid mesurement,Adolescent idiopathic scoliosis,Serum albumin measurement,Sex hormone-binding globulin measurement,Eyelid sagging measurement,Temperament and character inventory,Chronic obstructive pulmonary disease,Polychlorinated biphenyls measurement; Gestational serum measurement,Stressful life event measurement; Depressive symptom measurement,Childhood trauma measurement; Alcohol consumption measurement,Educational attainment,-"	"HS3ST3A1"	"MBTD1"
"ENSG00000244879"	"GABPB1-AS1"	-3.02148364484547	1.22979524424948e-09	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0105872"	"anti_sense,sense"	"Q90"	"hsa-miR-619-5p,hsa-miR-4505"	"Superior frontal gyrus volume measurement,Adolescent idiopathic scoliosis,Testosterone measurement,Platelet crit,Breast carcinoma,Fev/fec ratio,Body height,Blood phosphate measurement,-"	"USP8"	"MRE11"
"ENSG00000242048"	"PRKAG2-AS2"	2.80285826793708	0.00038614770903636	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0149841"	"anti_sense"	"Not conserved"	NA	NA	"GALNTL5"	"SLAMF7"
"ENSG00000289353"	"ENSG00000289353"	-2.40719193956939	0.0345678100210488	"Control_Cytosol_vs_Control_Whole_Cell"	NA	NA	NA	NA	NA	"CMTM1"	"STAU2"
"ENSG00000272941"	"ENSG00000272941"	-2.67635630881299	0.0337158395004924	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0061535"	"anti_sense"	"Q50"	NA	"-"	"TMEM140"	"NEDD4L"
"ENSG00000231131"	"LNCAROD"	7.20963411800397	0.00170096192098342	"Control_Cytosol_vs_Control_Whole_Cell"	"HSALNG0078017"	"integenic"	"Not conserved"	"hsa-miR-6895-5p"	"Heel bone mineral density,Bone density; Dickkopf‐related protein 1 measurement; Heel bone mineral density,Bone density,Bone density; Heel bone mineral density,Dickkopf‐related protein 1 measurement,Femoral neck bone mineral density; Spine bone mineral density,Bone fracture,Velocity of sound measurement; Bone quantitative ultrasound measurement; Heel bone mineral density,Bone quantitative ultrasound measurement"	"MBL2"	"HOMER3"
