Ensembl_ID	Gene_symbol	Biotype	Comparison	logFC	FDR
ENSG00000000003	TSPAN6	protein_coding	MUS_vs_PBS	0.680565443197407	1
ENSG00000000005	TNMD	protein_coding	MUS_vs_PBS	2.93921327001869	0.455779118824498
ENSG00000000419	DPM1	protein_coding	MUS_vs_PBS	0.805358864160628	0.0887671466242953
ENSG00000000457	SCYL3	protein_coding	MUS_vs_PBS	-0.509640389715688	0.648144236253992
ENSG00000000460	C1orf112	protein_coding	MUS_vs_PBS	-0.476061646722155	0.797924647870298
ENSG00000000938	FGR	protein_coding	MUS_vs_PBS	1.05285085675339	0.00730794376048776
ENSG00000000971	CFH	protein_coding	MUS_vs_PBS	-1.22067546853441	0.898923341802152
ENSG00000001036	FUCA2	protein_coding	MUS_vs_PBS	0.391705565340399	0.797924647870298
ENSG00000001084	GCLC	protein_coding	MUS_vs_PBS	0.665549994934477	0.267616492027691
ENSG00000001167	NFYA	protein_coding	MUS_vs_PBS	-0.203585738523441	1
ENSG00000001460	STPG1	protein_coding	MUS_vs_PBS	0.344315521200489	1
ENSG00000001461	NIPAL3	protein_coding	MUS_vs_PBS	0.0283662144477514	1
ENSG00000001497	LAS1L	protein_coding	MUS_vs_PBS	-0.58367756816388106	0.227594823171433
ENSG00000001561	ENPP4	protein_coding	MUS_vs_PBS	-0.208726303236775	1
ENSG00000001617	SEMA3F	protein_coding	MUS_vs_PBS	2.27584598648676	0.182975502399215
ENSG00000001626	CFTR	protein_coding	MUS_vs_PBS	-2.33012257812859	0.113293058373845
ENSG00000001629	ANKIB1	protein_coding	MUS_vs_PBS	-0.102584751670441	1
ENSG00000001630	CYP51A1	protein_coding	MUS_vs_PBS	0.960816917240647	0.397281382093856
ENSG00000001631	KRIT1	protein_coding	MUS_vs_PBS	-0.939055370013836	0.129331123434482
ENSG00000002016	RAD52	protein_coding	MUS_vs_PBS	-0.643584431789624	0.568081015992729
ENSG00000002079	MYH16	transcribed_unitary_pseudogene	MUS_vs_PBS	-1.16045554351831	0.974909826642963
ENSG00000002330	BAD	protein_coding	MUS_vs_PBS	0.466711717546001	0.877824567941361
ENSG00000002549	LAP3	protein_coding	MUS_vs_PBS	0.173749346228982	1
ENSG00000002586	CD99	protein_coding	MUS_vs_PBS	-0.19240633431363	1
ENSG00000002587	HS3ST1	protein_coding	MUS_vs_PBS	-0.992239511837655	0.258063308903939
ENSG00000002726	AOC1	protein_coding	MUS_vs_PBS	0.776688918715259	0.910989094945861
ENSG00000002745	WNT16	protein_coding	MUS_vs_PBS	-1.03349118805001	0.981350191284004
ENSG00000002746	HECW1	protein_coding	MUS_vs_PBS	1.37500851517296	0.977662800905626
ENSG00000002822	MAD1L1	protein_coding	MUS_vs_PBS	1.39721529244187	0.376111964069097
ENSG00000002834	LASP1	protein_coding	MUS_vs_PBS	0.383806667407936	0.828965963326942
ENSG00000002919	SNX11	protein_coding	MUS_vs_PBS	-0.8615678412139	0.069196383761258
ENSG00000002933	TMEM176A	protein_coding	MUS_vs_PBS	1.31397941931957	0.429924660826637
ENSG00000003056	M6PR	protein_coding	MUS_vs_PBS	-0.212802889260197	1
ENSG00000003096	KLHL13	protein_coding	MUS_vs_PBS	0.844372285939199	0.720088348117841
ENSG00000003137	CYP26B1	protein_coding	MUS_vs_PBS	3.82693681472123	0.0100599262713245
ENSG00000003147	ICA1	protein_coding	MUS_vs_PBS	0.509685238923044	0.828965963326942
ENSG00000003249	DBNDD1	protein_coding	MUS_vs_PBS	1.90086631414173	0.974909826642963
ENSG00000003393	ALS2	protein_coding	MUS_vs_PBS	-0.559093845541388	0.278828379789246
ENSG00000003400	CASP10	protein_coding	MUS_vs_PBS	-0.388462751428607	0.810464317119406
ENSG00000003402	CFLAR	protein_coding	MUS_vs_PBS	1.27190422280352	0.00456247339480939
ENSG00000003436	TFPI	protein_coding	MUS_vs_PBS	0.689563549116227	0.561504902988305
ENSG00000003509	NDUFAF7	protein_coding	MUS_vs_PBS	-0.542589319266028	0.674779474399652
ENSG00000003756	RBM5	protein_coding	MUS_vs_PBS	-0.343320276783561	0.732116502070339
ENSG00000003987	MTMR7	protein_coding	MUS_vs_PBS	-0.084064863650977	1
ENSG00000003989	SLC7A2	protein_coding	MUS_vs_PBS	0.0709829630013244	1
ENSG00000004059	ARF5	protein_coding	MUS_vs_PBS	-0.0864167629314746	1
ENSG00000004139	SARM1	protein_coding	MUS_vs_PBS	-1.72016796380147	0.0197766419363674
ENSG00000004142	POLDIP2	protein_coding	MUS_vs_PBS	-0.375659568455902	0.783682023018925
ENSG00000004399	PLXND1	protein_coding	MUS_vs_PBS	-0.0284060872862579	1
ENSG00000004455	AK2	protein_coding	MUS_vs_PBS	-0.194291300185668	1
ENSG00000004468	CD38	protein_coding	MUS_vs_PBS	0.716177949773413	0.877824567941361
ENSG00000004478	FKBP4	protein_coding	MUS_vs_PBS	-0.356052625353953	0.687436249045246
ENSG00000004487	KDM1A	protein_coding	MUS_vs_PBS	-0.521237621835155	0.285199801172082
ENSG00000004534	RBM6	protein_coding	MUS_vs_PBS	-0.584544572561437	0.293354094976362
ENSG00000004660	CAMKK1	protein_coding	MUS_vs_PBS	0.0110608868976703	1
ENSG00000004700	RECQL	protein_coding	MUS_vs_PBS	-0.338730393348795	0.797523531533458
ENSG00000004766	VPS50	protein_coding	MUS_vs_PBS	-0.331411420992883	0.852619808908027
ENSG00000004776	HSPB6	protein_coding	MUS_vs_PBS	-1.86575846793556	0.877824567941361
ENSG00000004777	ARHGAP33	protein_coding	MUS_vs_PBS	0.683287820683479	0.732116502070339
ENSG00000004779	NDUFAB1	protein_coding	MUS_vs_PBS	0.406359925068521	0.828965963326942
ENSG00000004799	PDK4	protein_coding	MUS_vs_PBS	-1.64560345079828	3.06438538642144e-4
ENSG00000004809	SLC22A16	protein_coding	MUS_vs_PBS	-0.529865246702187	1
ENSG00000004838	ZMYND10	protein_coding	MUS_vs_PBS	-0.0491751878572329	1
ENSG00000004846	ABCB5	protein_coding	MUS_vs_PBS	1.01825080015614	0.743220819247852
ENSG00000004848	ARX	protein_coding	MUS_vs_PBS	2.52740444287322	0.614338119107846
ENSG00000004864	SLC25A13	protein_coding	MUS_vs_PBS	0.390022975149857	0.671872298482257
ENSG00000004866	ST7	protein_coding	MUS_vs_PBS	-0.167481563939587	1
ENSG00000004897	CDC27	protein_coding	MUS_vs_PBS	-0.420516512435308	0.496828997556212
ENSG00000004939	SLC4A1	protein_coding	MUS_vs_PBS	1.67992762402828	0.828965963326942
ENSG00000004948	CALCR	protein_coding	MUS_vs_PBS	2.52129103450405	0.453203390958183
ENSG00000004961	HCCS	protein_coding	MUS_vs_PBS	-0.164245010719079	1
ENSG00000004975	DVL2	protein_coding	MUS_vs_PBS	-0.164120604116249	1
ENSG00000005001	PRSS22	protein_coding	MUS_vs_PBS	3.0769194272618	0.323147367425062
ENSG00000005007	UPF1	protein_coding	MUS_vs_PBS	-0.595903843872712	0.275152679987048
ENSG00000005020	SKAP2	protein_coding	MUS_vs_PBS	0.156857636628776	1
ENSG00000005022	SLC25A5	protein_coding	MUS_vs_PBS	0.811083202705224	0.171287228460165
ENSG00000005059	MCUB	protein_coding	MUS_vs_PBS	-0.853340057761523	0.0194111385075598
ENSG00000005073	HOXA11	protein_coding	MUS_vs_PBS	0.514813861325295	1
ENSG00000005075	POLR2J	protein_coding	MUS_vs_PBS	0.0217315189367967	1
ENSG00000005100	DHX33	protein_coding	MUS_vs_PBS	-0.815516678257426	0.0709970567176541
ENSG00000005102	MEOX1	protein_coding	MUS_vs_PBS	1.31310486883556	0.877824567941361
ENSG00000005108	THSD7A	protein_coding	MUS_vs_PBS	1.06295887557912	1
ENSG00000005156	LIG3	protein_coding	MUS_vs_PBS	-0.284797954868486	1
ENSG00000005175	RPAP3	protein_coding	MUS_vs_PBS	0.248097606190658	0.974909826642963
ENSG00000005187	ACSM3	protein_coding	MUS_vs_PBS	0.8989398373312	0.668054672681205
ENSG00000005189	REXO5	protein_coding	MUS_vs_PBS	0.530807625203138	0.893364570550279
ENSG00000005194	CIAPIN1	protein_coding	MUS_vs_PBS	-0.501446466504304	0.614338119107846
